(3101, 8976)
(3101, 19060)
(3312, 1506)
(3312, 13771)
(9180, 5713)
(9181, 5714)
(9181, 16928)
(9182, 16929)
(9622, 15514)
(14233, 1837)
(14233, 14775)
(14233, 15891)
(14383, 1556)
(14383, 4129)
(14383, 6978)
(17714, 8237)
(17715, 8236)
(17715, 8740)
(18451, 7648)
(18451, 10875)
(18451, 16548)
(21500, 11515)
(21501, 11516)
(21501, 19082)
(23126, 12554)
(23127, 2982)
(23127, 12555)
(23128, 2981)
(23128, 12556)
(23129, 12557)
(23826, 10609)
(23826, 13960)
(23826, 18178)
(26499, 6943)
(35242, 12833)
(35243, 1364)
(35243, 12832)
(35244, 12831)
(36141, 7648)
(36141, 10875)
(36141, 16548)
(36971, 15514)
(41047, 1837)
(41047, 14775)
(41047, 15891)
(41138, 10574)
(41139, 10573)
(41140, 8922)
(41140, 10572)
(41140, 10738)
(41141, 8921)
(41141, 10571)
(41142, 8920)
(41142, 10570)
(41143, 10569)
(41144, 10568)
(42857, 7145)
(42857, 9550)
(42857, 14153)
(42858, 7144)
(47548, 8236)
(47548, 8740)
(48000, 850)
(48001, 849)
(49205, 10819)
(49205, 19926)
(49206, 19925)
(50555, 5713)
(50556, 5714)
(50556, 16928)
(59633, 2814)
(59634, 2140)
(59634, 2813)
(59634, 8208)
(59635, 2812)
(61593, 18177)
(61594, 10609)
(61594, 13960)
(61594, 18178)
(61767, 7649)
(61767, 16549)
(61768, 7648)
(61768, 10875)
(61768, 16548)
(61769, 7647)
(61769, 10874)
(61769, 16547)
(61770, 16546)
(67029, 16511)
(67030, 3173)
(67030, 16510)
(68070, 1837)
(68070, 14775)
(68070, 15891)
(68071, 1838)
(68071, 15890)
(69651, 7585)
(73329, 8922)
(73329, 10572)
(73329, 10738)
(73330, 10739)
(81821, 16511)
(81822, 3173)
(81822, 16510)
(81823, 3172)
(86287, 6477)
(86288, 6478)
(86289, 2231)
(86289, 6479)
(87799, 8975)
(87800, 8976)
(87800, 19060)
(90479, 1558)
(90480, 1557)
(90481, 1556)
(90481, 4129)
(90481, 6978)
(90482, 1555)
(90482, 4130)
(90482, 6977)
(90483, 1554)
(90484, 1553)
(90485, 1552)
(90486, 1551)
(90834, 14331)
(97463, 2983)
(97464, 2982)
(97464, 12555)
(97465, 2981)
(97465, 12556)
(100991, 73)
(100991, 4236)
(100992, 74)
(100992, 4235)
(100993, 4234)
(101660, 11168)
(101661, 11169)
(103607, 2183)
(103607, 11622)
(106485, 2089)
(110479, 4310)
(110480, 3229)
(110480, 4311)
(110481, 3228)
(116572, 1506)
(116572, 13771)
(116731, 11567)
(116732, 11568)
(116733, 8706)
(116733, 11569)
(119468, 11912)
(119468, 18358)
(119637, 9266)
(120783, 12945)
(121023, 3914)
(121023, 16412)
(122187, 15277)
(122188, 15082)
(122188, 15276)
(123008, 2139)
(123009, 2140)
(123009, 2813)
(123009, 8208)
(125462, 3914)
(125462, 16412)
(126911, 19084)
(126912, 19083)
(126913, 11516)
(126913, 19082)
(126914, 11517)
(138848, 1509)
(138849, 1508)
(138850, 1507)
(138851, 1506)
(138851, 13771)
(139512, 19957)
(140958, 9554)
(140959, 9553)
(140960, 9552)
(140961, 9551)
(140962, 7145)
(140962, 9550)
(140962, 14153)
(142363, 4309)
(142364, 4310)
(142365, 3229)
(142365, 4311)
(142366, 4312)
(148879, 73)
(148879, 4236)
(149290, 11568)
(149291, 8706)
(149291, 11569)
(149292, 8705)
(152155, 4127)
(152156, 4128)
(152156, 6979)
(152157, 1556)
(152157, 4129)
(152157, 6978)
(156885, 18356)
(156886, 18357)
(156887, 11912)
(156887, 18358)
(160278, 6211)
(160278, 12265)
(164471, 19612)
(165915, 7145)
(165915, 9550)
(165915, 14153)
(167383, 2231)
(167383, 6479)
(167384, 6480)
(170530, 8922)
(170530, 10572)
(170530, 10738)
(173043, 7079)
(173043, 9036)
(178246, 2184)
(178247, 2183)
(178247, 11622)
(178248, 2182)
(184381, 6212)
(184382, 6211)
(184382, 12265)
(188452, 10609)
(188452, 13960)
(188452, 18178)
(188453, 10610)
(188453, 13959)
(189341, 16043)
(190643, 15278)
(190644, 15277)
(190645, 15082)
(190645, 15276)
(190646, 15083)
(195082, 2138)
(195083, 2139)
(195084, 2140)
(195084, 2813)
(195084, 8208)
(195085, 8207)
(195238, 7079)
(195238, 9036)
(195239, 7080)
(196374, 12809)
(196375, 12808)
(196789, 15082)
(196789, 15276)
(196790, 15275)
(198444, 10819)
(198444, 19926)
(198445, 19925)
(199587, 1364)
(199587, 12832)
